Year,Mar
2022,61.4
2021,59.5
2020,61.3
2019,61.1
2018,60.1
2017,65.5
2016,63.2
2015,68.2
2014,63.7
2013,62
2012,58.2
2011,59.8
2010,62.9
2009,60.7
2008,62.1
2007,63.2
2006,55.3
2005,60.7
2004,64.8
2003,61.9
2002,59.8
2001,60.4
2000,59.5
1999,56.9
1998,61.9
1997,65.1
1996,63
1995,62.6
1994,64.7
1993,64.4
1992,60.8
1991,56.8
1990,61.7
1989,62.4
1988,64.9
1987,61.2
1986,64.5
1985,59.3
1984,65.6
1983,63.8
1982,59.3
1981,62
1980,60.9
1979,57.9
1978,63.2
1977,56.9
1976,58.4
1975,55.7
1974,59.6
1973,57.9
1972,63.7
1971,60.3
1970,61.2
1969,59.7
1968,62.8
1967,60.9
1966,61.3
1965,59
1964,58.6
1963,58.3
1962,55.2
1961,60.1
1960,62
1959,64.7
1958,56.9
1957,61.6
1956,60.5
1955,61.2
1954,57
1953,58.9
1952,55.3
1951,60.2
1950,58.7
1949,56.1
1948,55.2
1947,60.4
1946,57.5
1945,54.4
1944,59.7
1943,58.8
1942,58.8
1941,60.5
1940,61.2
1939,56.8
1938,57.7
1937,58.5
1936,59
1935,55.3
1934,65.5
1933,59.7
1932,62.2
1931,66
1930,60.8
1929,57.3
1928,60.6
1927,57.4
1926,63.1
1925,58.9
1924,56.4
1923,60.9
1922,55.6
1921,59.4
1920,56.8
1919,55.7
1918,59.1
1917,56.7
1916,62
1915,61.5
1914,61.8
1913,57.8
1912,54.2
1911,58.8
1910,58.9
1909,55
1908,58
1907,58.7
1906,57.8
1905,59.3
1904,57.2
1903,56.3
1902,55
1901,60.3
1900,60.4
1899,56.7
1898,55.3
1897,53
1896,58.5
1895,55.5
1894,53.9
1893,53.5
1892,56
1891,58.2
1890,57.5
1889,59.2
1888,55.6
1887,59.5
1886,55.4
1885,61.6
1884,55.5
1883,58.1
1882,55.5
1881,57.5
1880,52
1879,59.4
1878,56.6
